TransactionID,Amount,Promo code:,1st installment,2nd,3rd,Payment Date,Payment Date 2nd,Payment Date 3rd,CandID,ManegerID,CourseID,LocationID
TR1017,110000,Kezi01,110000,0,0,2023-11-03,NULL,NULL,DMCABJ2200159,MG01,CP01,LC01
TR1018,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200160,MG01,CP01,LC01
TR1019,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200161,MG01,CP01,LC01
TR102,0,ExcelBoss,0,0,0,null,NULL,NULL,DMCC230103,NULL,CP01,LC02
TR1020,110000,Kezi01,110000,0,0,2023-11-03,NULL,NULL,DMCABJ2200162,MG01,CP01,LC01
TR1021,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200163,MG01,CP01,LC01
TR1022,110000,Kezi01,110000,0,0,2023-11-02,NULL,NULL,DMCABJ2200164,MG01,CP01,LC01
TR1023,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200165,MG01,CP01,LC01
TR1024,110000,Kezi01,110000,0,0,2024-01-10,NULL,NULL,DMCABJ2200166,MG01,CP01,LC01
TR1025,110000,Kezi01,70000,40000,0,2023-12-13,NULL,NULL,DMCABJ2200167,MG01,CP01,LC01
TR1026,130000,Kezi01,80000,0,0,2023-11-04,NULL,NULL,DMCABJ2200168,MG01,CP01,LC01
TR1027,110000,Kezi01,110000,0,0,2023-11-04,NULL,NULL,DMCABJ2200169,MG01,CP01,LC01
TR1028,130000,Kezi01,130000,0,0,2024-02-06,NULL,NULL,DMCABJ2200170,MG01,CP01,LC01
TR1029,110000,Kezi01,110000,0,0,2023-11-04,NULL,NULL,DMCABJ2200171,MG01,CP01,LC01
TR103,0,ExcelBoss,0,0,0,null,NULL,NULL,DMCC230104,NULL,CP01,LC02
TR1030,110000,Kezi01,80000,30000,0,2023-12-12,NULL,NULL,DMCABJ2200172,MG01,CP01,LC01
TR1031,110000,Kezi01,110000,0,0,2023-12-01,NULL,NULL,DMCABJ2200173,MG01,CP01,LC01
TR1032,120000,Kezi01,80000,40000,0,2023-12-09,NULL,NULL,DMCABJ2200174,MG01,CP01,LC01
TR1033,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200175,MG01,CP01,LC01
TR1034,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200176,MG01,CP01,LC01
TR1035,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200177,MG01,CP01,LC01
TR1036,110000,Kezi01,110000,0,0,2023-11-27,NULL,NULL,DMCABJ2200178,MG01,CP01,LC01
TR1037,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200179,MG01,CP01,LC01
TR1038,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200180,MG01,CP01,LC01
TR1039,110000,Kezi01,110000,0,0,2023-12-02,NULL,NULL,DMCABJ2200181,MG01,CP01,LC01
TR104,0,ExcelBoss,0,0,0,null,NULL,NULL,DMCC230105,NULL,CP01,LC02
TR1040,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200182,MG01,CP01,LC01
TR1041,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200183,MG01,CP01,LC01
TR1042,110000,Kezi01,110000,0,0,2023-11-24,NULL,NULL,DMCABJ2200184,MG01,CP01,LC01
TR1043,110000,Kezi01,110000,0,0,2023-11-25,NULL,NULL,DMCABJ2200185,MG01,CP01,LC01
TR1044,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200186,MG01,CP01,LC01
TR1045,110000,Kezi01,110000,0,0,2023-12-02,NULL,NULL,DMCABJ2200187,MG01,CP01,LC01
TR1046,130000,Kezi01,65000,65000,0,2023-12-02,NULL,NULL,DMCABJ2200188,MG01,CP01,LC01
TR1047,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200189,MG01,CP01,LC01
TR1048,130000,Kezi01,78000,0,0,2023-11-28,NULL,NULL,DMCABJ2200190,MG01,CP01,LC01
TR1049,0,,0,0,0,null,NULL,NULL,DMCABJ2200191,MG01,CP01,LC01
TR105,56000,ExcelBoss,16000,20000,20000,2022-06-09,NULL,NULL,DMCC230106,MG05,CP01,LC02
TR1050,130000,Kezi01,78000,52000,0,2023-11-24,NULL,NULL,DMCABJ2200192,MG01,CP01,LC01
TR1051,0,Riri01,0,0,0,null,NULL,NULL,DMCABJ2200193,MG02,CP01,LC01
TR1052,110000,Kezi01,110000,0,0,2023-11-30,NULL,NULL,DMCABJ2200194,MG01,CP01,LC01
TR1053,110000,Kezi01,110000,0,0,2023-11-27,NULL,NULL,DMCABJ2200195,MG01,CP01,LC01
TR1054,110000,Kezi01,110000,0,0,2023-11-28,NULL,NULL,DMCABJ2200196,MG01,CP01,LC01
TR1055,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200197,MG01,CP01,LC01
TR1056,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200198,MG01,CP01,LC01
TR1057,130000,Kezi01,50000,20000,30000,2023-11-28,NULL,NULL,DMCABJ2200199,MG01,CP01,LC01
TR1058,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200200,MG01,CP01,LC01
TR1059,110000,Kezi01,110000,0,0,2023-12-02,NULL,NULL,DMCABJ2200201,MG01,CP01,LC01
TR106,0,ExcelBoss,0,0,0,null,NULL,NULL,DMCC230107,NULL,CP01,LC02
TR1060,110000,Kezi01,110000,0,0,2023-12-02,NULL,NULL,DMCABJ2200202,MG01,CP01,LC01
TR1061,130000,Kezi01,78000,52000,0,2023-12-06,NULL,NULL,DMCABJ2200203,MG01,CP01,LC01
TR1062,110000,Kezi01,110000,0,0,2023-11-29,NULL,NULL,DMCABJ2200204,MG01,CP01,LC01
TR1063,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200205,MG01,CP01,LC01
TR1064,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200206,MG01,CP01,LC01
TR1065,110000,Kezi01,110000,0,0,2023-11-30,NULL,NULL,DMCABJ2200207,MG01,CP01,LC01
TR1066,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200208,MG01,CP01,LC01
TR1067,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200209,MG01,CP01,LC01
TR1068,130000,Kezi01,78000,52000,0,2023-12-03,NULL,NULL,DMCABJ2200210,MG01,CP01,LC01
TR1069,110000,Kezi01,55000,55000,0,2024-01-06,NULL,NULL,DMCABJ2200211,MG01,CP01,LC01
TR107,45000,ExcelBoss,45000,0,0,2022-06-10,NULL,NULL,DMCC230108,MG05,CP01,LC02
TR1070,110000,Kezi01,50000,30000,30000,2023-12-01,NULL,NULL,DMCABJ2200212,MG01,CP01,LC01
TR1071,110000,Kezi01,110000,0,0,2023-12-01,NULL,NULL,DMCABJ2200213,MG01,CP01,LC01
TR1072,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200214,MG01,CP01,LC01
TR1073,110000,Kezi01,110000,0,0,2023-11-30,NULL,NULL,DMCABJ2200215,MG01,CP01,LC01
TR1074,110000,Kezi01,110000,0,0,2023-12-02,NULL,NULL,DMCABJ2200216,MG01,CP01,LC01
TR1075,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200217,MG01,CP01,LC01
TR1076,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200218,MG01,CP01,LC01
TR1077,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200219,MG01,CP01,LC01
TR1078,130000,Kezi01,75000,0,0,2024-01-12,NULL,NULL,DMCABJ2200220,MG01,CP01,LC01
TR1079,110000,Kezi01,110000,0,0,2023-12-01,NULL,NULL,DMCABJ2200221,MG01,CP01,LC01
TR108,0,ExcelBoss,0,0,0,null,NULL,NULL,DMCC230109,NULL,CP01,LC02
TR1080,110000,Kezi01,110000,0,0,2023-12-01,NULL,NULL,DMCABJ2200222,MG01,CP01,LC01
TR1081,110000,Kezi01,110000,0,0,2023-12-02,NULL,NULL,DMCABJ2200223,MG01,CP01,LC01
TR1082,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200224,MG01,CP01,LC01
TR1083,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200225,MG01,CP01,LC01
TR1084,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200226,MG01,CP01,LC01
TR1085,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200227,MG01,CP01,LC01
TR1086,130000,Kezi01,130000,0,0,2024-01-13,NULL,NULL,DMCABJ2200228,MG01,CP01,LC01
TR1087,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200229,MG01,CP01,LC01
TR1088,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200230,MG01,CP01,LC01
TR1089,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200231,MG01,CP01,LC01
TR109,0,ExcelBoss,0,0,0,null,NULL,NULL,DMCC230110,NULL,CP01,LC02
TR1090,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200232,MG01,CP01,LC01
TR1091,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200233,MG01,CP01,LC01
TR1092,130000,Kezi01,100000,30000,0,2024-01-13,NULL,NULL,DMCABJ2200234,MG01,CP01,LC01
TR1093,150000,Kezi01,100000,50000,0,2023-12-24,NULL,NULL,DMCABJ2200235,MG01,CP01,LC01
TR1094,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200236,MG01,CP01,LC01
TR1095,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200237,MG01,CP01,LC01
TR1096,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200238,MG01,CP01,LC01
TR1097,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200239,MG01,CP01,LC01
TR1098,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200240,MG01,CP01,LC01
TR1099,130000,Kezi01,130000,0,0,2023-12-25,NULL,NULL,DMCABJ2200241,MG01,CP01,LC01
TR10A,67000,Referals,35000,32000,0,2021-04-01,NULL,NULL,DMCC23011,MG08,CP01,LC02
TR11,79000,Referals,45000,34000,0,2021-04-02,NULL,NULL,DMCC23012,MG08,CP01,LC02
TR110,0,ExcelBoss,0,0,0,null,NULL,NULL,DMCC230111,NULL,CP01,LC02
TR1100,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200242,MG01,CP01,LC01
TR1101,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200243,MG01,CP01,LC01
TR1102,130000,Kezi01,130000,0,0,2024-01-13,NULL,NULL,DMCABJ2200244,MG01,CP01,LC01
TR1103,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200245,MG01,CP01,LC01
TR1104,130000,Kezi01,130000,0,0,2024-01-12,NULL,NULL,DMCABJ2200246,MG01,CP01,LC01
TR1105,130000,Kezi01,130000,0,0,2023-12-28,NULL,NULL,DMCABJ2200247,MG01,CP01,LC01
TR1106,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200248,MG01,CP01,LC01
TR1107,130000,Kezi01,130000,0,0,2024-01-04,NULL,NULL,DMCABJ2200249,MG01,CP01,LC01
TR1108,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200250,MG01,CP01,LC01
TR1109,130000,Kezi01,130000,0,0,2023-12-30,NULL,NULL,DMCABJ2200251,MG01,CP01,LC01
TR111,0,ExcelBoss,0,0,0,null,NULL,NULL,DMCC230112,NULL,CP01,LC02
TR1110,130000,Kezi01,130000,0,0,2024-01-06,NULL,NULL,DMCABJ2200252,MG01,CP01,LC01
TR1111,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200253,MG01,CP01,LC01
TR1112,130000,Kezi01,130000,0,0,2024-01-09,NULL,NULL,DMCABJ2200254,MG01,CP01,LC01
TR1113,150000,Kezi01,150000,0,0,2024-02-05,NULL,NULL,DMCABJ2200255,MG01,CP01,LC01
TR1114,130000,Kezi01,130000,0,0,2024-01-10,NULL,NULL,DMCABJ2200256,MG01,CP01,LC01
TR1115,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200257,MG01,CP01,LC01
TR1116,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200258,MG01,CP01,LC01
TR1117,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200259,MG01,CP01,LC01
TR1118,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200260,MG01,CP01,LC01
TR1119,130000,Kezi01,130000,0,0,2024-01-07,NULL,NULL,DMCABJ2200261,MG01,CP01,LC01
TR112,35000,ExcelBoss,35000,0,0,2022-06-18,NULL,NULL,DMCC230113,MG05,CP01,LC02
TR1120,130000,Kezi01,130000,0,0,2024-01-09,NULL,NULL,DMCABJ2200262,MG01,CP01,LC01
TR1121,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200263,MG01,CP01,LC01
TR1122,130000,Kezi01,130000,0,0,2024-01-12,NULL,NULL,DMCABJ2200264,MG01,CP01,LC01
TR1123,100000,Kezi01,100000,0,0,2024-01-07,NULL,NULL,DMCABJ2200265,MG01,CP01,LC01
TR1124,100000,Kezi01,100000,0,0,2024-01-07,NULL,NULL,DMCABJ2200266,MG01,CP01,LC01
TR1125,110000,Kezi01,50000,50000,10000,2024-01-11,NULL,NULL,DMCABJ2200267,MG01,CP01,LC01
TR1126,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200268,MG01,CP01,LC01
TR1127,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200269,MG01,CP01,LC01
TR1128,110000,Kezi01,110000,0,0,2024-01-10,NULL,NULL,DMCABJ2200270,MG01,CP01,LC01
TR1129,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200271,MG01,CP01,LC01
TR113,45000,ExcelBoss,45000,0,0,2022-06-13,NULL,NULL,DMCC230114,MG05,CP01,LC02
TR1130,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200272,MG01,CP01,LC01
TR1131,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200273,MG01,CP01,LC01
TR1132,130000,Kezi01,130000,0,0,2024-01-13,NULL,NULL,DMCABJ2200274,MG01,CP01,LC01
TR1133,130000,Kezi01,130000,0,0,2024-01-13,NULL,NULL,DMCABJ2200275,MG01,CP01,LC01
TR1134,150000,Kezi01,90000,60000,0,2024-01-13,NULL,NULL,DMCABJ2200276,MG01,CP01,LC01
TR1135,100000,Kezi01,100000,0,0,2024-01-12,NULL,NULL,DMCABJ2200277,MG01,CP01,LC01
TR1136,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200278,MG01,CP01,LC01
TR1137,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200279,MG01,CP01,LC01
TR1138,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200280,MG01,CP01,LC01
TR1139,180000,Kezi01,180000,0,0,2024-01-23,NULL,NULL,DMCABJ2200281,MG01,CP01,LC01
TR114,0,ExcelBoss,0,0,0,null,NULL,NULL,DMCC230115,MG08,CP01,LC02
TR1140,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200282,MG01,CP01,LC01
TR1141,150000,Riri01,150000,0,0,2024-01-30,NULL,NULL,DMCABJ2200283,MG02,CP01,LC01
TR1142,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200284,MG01,CP01,LC01
TR1143,150000,Riri01,150000,0,0,2024-02-01,NULL,NULL,DMCABJ2200285,MG02,CP01,LC01
TR1144,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200286,MG01,CP01,LC01
TR1145,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200287,MG01,CP01,LC01
TR1146,150000,Riri01,150000,0,0,2024-02-07,NULL,NULL,DMCABJ2200288,MG02,CP01,LC01
TR1147,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200289,MG01,CP01,LC01
TR1148,0,Riri01,0,0,0,null,NULL,NULL,DMCABJ2200290,MG02,CP01,LC01
TR1149,0,Riri01,0,0,0,null,NULL,NULL,DMCABJ2200291,MG02,CP01,LC01
TR115,0,ExcelBoss,0,0,0,null,NULL,NULL,DMCC230116,NULL,CP01,LC02
TR1150,0,Riri01,0,0,0,null,NULL,NULL,DMCABJ2200292,MG02,CP01,LC01
TR1151,0,Riri01,0,0,0,null,NULL,NULL,DMCABJ2200293,MG02,CP01,LC01
TR1152,150000,Kezi01,60000,50000,40000,2024-02-09,NULL,NULL,DMCABJ2200294,MG01,CP01,LC01
TR1153,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200295,MG01,CP01,LC01
TR1154,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200296,MG01,CP01,LC01
TR1155,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200297,MG01,CP01,LC01
TR1156,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200298,MG01,CP01,LC01
TR1157,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200299,MG01,CP01,LC01
TR1158,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200300,MG01,CP01,LC01
TR1159,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200301,MG01,CP01,LC01
TR116,35000,ExcelBoss,35000,0,0,2022-06-15,NULL,NULL,DMCC230117,MG05,CP01,LC02
TR1160,150000,Kezi01,120000,30000,0,2024-02-15,NULL,NULL,DMCABJ2200302,MG01,CP01,LC01
TR1161,140000,Kezi01,140000,0,0,2024-02-24,NULL,NULL,DMCABJ2200303,MG01,CP01,LC01
TR1162,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200304,MG01,CP01,LC01
TR1163,140000,Kezi01,60000,80000,0,2024-02-25,NULL,NULL,DMCABJ2200305,MG01,CP01,LC01
TR1164,140000,Kezi01,140000,0,0,2024-02-28,NULL,NULL,DMCABJ2200306,MG01,CP01,LC01
TR1165,0,Riri01,0,0,0,null,NULL,NULL,DMCABJ2200307,MG02,CP01,LC01
TR1166,140000,Kezi01,140000,0,0,2024-02-29,NULL,NULL,DMCABJ2200308,MG01,CP01,LC01
TR1167,150000,Kezi01,100000,50000,0,2024-03-07,NULL,NULL,DMCABJ2200309,MG01,CP01,LC01
TR1168,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200310,MG01,CP01,LC01
TR1169,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200311,MG01,CP01,LC01
TR117,45000,ExcelBoss,45000,0,0,2022-06-15,NULL,NULL,DMCC230118,MG05,CP01,LC02
TR1170,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200312,MG01,CP01,LC01
TR1171,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200313,MG01,CP01,LC01
TR1172,150000,Kezi01,150000,0,0,2024-03-08,NULL,NULL,DMCABJ2200314,MG01,CP01,LC01
TR1173,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200315,MG01,CP01,LC01
TR1174,100000,Kezi01,100000,0,0,2024-03-09,NULL,NULL,DMCABJ2200316,MG01,CP01,LC01
TR1175,170000,Kezi01,170000,0,0,2024-04-06,NULL,NULL,DMCABJ2200317,MG01,CP01,LC01
TR1176,150000,Riri01,150000,0,0,2024-03-02,NULL,NULL,DMCABJ2200318,MG02,CP01,LC01
TR1177,0,Riri01,0,0,0,null,NULL,NULL,DMCABJ2200319,MG02,CP01,LC01
TR1178,150000,Kezi01,80000,70000,0,2024-03-09,2024-03-04,NULL,DMCABJ2200320,MG01,CP01,LC01
TR1179,150000,Riri01,150000,0,0,2024-03-15,NULL,NULL,DMCABJ2200321,MG02,CP01,LC01
TR118,45000,Excel boss,45000,0,0,2022-06-15,NULL,NULL,DMCC230119,MG05,CP01,LC02
TR1180,150000,Riri01,80000,70000,0,2024-03-09,2024-04-15,NULL,DMCABJ2200322,MG02,CP01,LC01
TR1181,150000,Kezi01,150000,0,0,2024-03-11,NULL,NULL,DMCABJ2200323,MG01,CP01,LC01
TR1182,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200324,MG01,CP01,LC01
TR1183,180000,Riri01,180000,0,0,2024-03-31,NULL,NULL,DMCABJ2200325,MG02,CP01,LC01
TR1184,0,Riri01,0,0,0,null,NULL,NULL,DMCABJ2200326,MG02,CP01,LC01
TR1185,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200327,MG01,CP01,LC01
TR1186,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200328,MG01,CP01,LC01
TR1187,0,Riri01,0,0,0,null,NULL,NULL,DMCABJ2200329,MG02,CP01,LC01
TR1188,180000,Riri01,180000,0,0,2024-04-03,NULL,NULL,DMCABJ2200330,MG02,CP01,LC01
TR1189,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200331,MG01,CP01,LC01
TR119,35000,Excelboss,20000,15000,0,2022-06-17,NULL,NULL,DMCC230120,MG05,CP01,LC02
TR1190,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200332,MG01,CP01,LC01
TR1191,0,Riri01,0,0,0,null,NULL,NULL,DMCABJ2200333,MG02,CP01,LC01
TR1192,180000,Kezi01,180000,0,0,2024-03-31,NULL,NULL,DMCABJ2200334,MG01,CP01,LC01
TR1193,180000,Riri01,180000,0,0,2024-04-05,NULL,NULL,DMCABJ2200335,MG02,CP01,LC01
TR1194,180000,Riri01,180000,0,0,2024-04-06,NULL,NULL,DMCABJ2200336,MG02,CP01,LC01
TR1195,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200337,MG01,CP01,LC01
TR1196,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200338,MG01,CP01,LC01
TR1197,400000,Solobucci,400000,0,0,2024-04-13,NULL,NULL,DMCABJ2200339,MG09,CP01,LC01
TR1198,180000,Kezi01,100000,80000,0,2024-04-10,NULL,NULL,DMCABJ2200340,MG01,CP01,LC01
TR1199,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200341,MG01,CP01,LC01
TR12,67000,WhatsappStatus,67000,0,0,2021-04-26,NULL,NULL,DMCC23013,MG12,CP01,LC02
TR120,25000,kaywilly,25000,0,0,2022-06-17,NULL,NULL,DMCC230121,MG05,CP01,LC02
TR1200,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200342,MG01,CP01,LC01
TR1201,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200343,MG01,CP01,LC01
TR1202,0,Riri01,0,0,0,null,NULL,NULL,DMCABJ2200344,MG02,CP01,LC01
TR1203,200000,Riri01,200000,0,0,2024-04-27,NULL,NULL,DMCABJ2200345,MG02,CP01,LC01
TR1204,200000,Riri01,200000,0,0,2024-04-28,NULL,NULL,DMCABJ2200346,MG02,CP01,LC01
TR1205,200000,Kezi01,200000,0,0,2024-05-07,NULL,NULL,DMCABJ2200347,MG01,CP01,LC01
TR1206,200000,Riri01,200000,0,0,2024-04-30,NULL,NULL,DMCABJ2200348,MG02,CP01,LC01
TR1207,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200349,MG01,CP01,LC01
TR1208,200000,Riri01,200000,0,0,2024-05-03,NULL,NULL,DMCABJ2200350,MG02,CP01,LC01
TR1209,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200351,MG01,CP01,LC01
TR121,45000,Excelboss,45000,0,0,2022-06-17,NULL,NULL,DMCC230122,MG05,CP01,LC02
TR1210,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200352,MG01,CP01,LC01
TR1211,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200353,MG01,CP01,LC01
TR1212,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200354,MG01,CP01,LC01
TR1213,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200355,MG01,CP01,LC01
TR1214,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200356,MG01,CP01,LC01
TR1215,0,Riri01,0,0,0,null,NULL,NULL,DMCABJ2200357,MG02,CP01,LC01
TR1216,200000,Kezi01,100000,0,0,2024-05-14,NULL,NULL,DMCABJ2200358,MG01,CP01,LC01
TR1217,200000,Kezi01,110000,90000,0,2024-05-11,2024-11-06,NULL,DMCABJ2200359,MG01,CP01,LC01
TR1218,0,Kezi01,0,0,0,null,NULL,NULL,DMCABJ2200360,MG01,CP01,LC01
TR1219,200000,Kezi01,130000,70000,0,2024-07-30,NULL,NULL,DMCABJ2200361,MG01,CP01,LC01
TR122,45000,Excelboss,45000,0,0,2022-06-17,NULL,NULL,DMCC230123,MG05,CP01,LC02
