CandID,Reg_Date,Opportunity type,Success Story,suc_date,Training Session,Training Type,MG_ID,Cos_ID,Loc_ID
DMCC23039,10/10/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23040,10/11/2021,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23041,10/11/2021,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23042,10/11/2021,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23043,10/11/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23044,10/11/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23045,10/12/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23046,10/12/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23047,10/12/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23048,10/12/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23049,10/12/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23050,10/12/2021,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23051,10/12/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23052,10/13/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23053,10/13/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23054,10/13/2021,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23055,10/14/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23056,10/14/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23057,10/14/2021,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23058,10/14/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23059,10/14/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23060,10/14/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23061,10/14/2021,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23062,10/14/2021,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23063,10/15/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23064,10/15/2021,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23065,10/15/2021,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23066,10/15/2021,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23067,10/15/2021,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23068,10/15/2021,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23069,10/15/2021,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23070,10/19/2021,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23071,10/20/2021,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23072,10/20/2021,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23073,10/20/2021,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23074,10/20/2021,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23075,10/21/2021,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23076,10/22/2021,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23077,11/5/2021,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23078,11/5/2021,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23079,11/8/2021,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23080,5/1/2022,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23081,5/5/2022,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23082,5/5/2022,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23083,5/6/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC23084,5/6/2022,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23085,5/7/2022,Closed Won,,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC23086,5/7/2022,Closed Won,,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC23087,5/8/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC23088,5/8/2022,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23089,5/8/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC23090,5/9/2022,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23091,5/9/2022,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23092,5/9/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC23093,5/10/2022,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23094,5/12/2022,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23095,5/28/2022,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23096,5/30/2022,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23097,5/31/2022,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC23098,6/1/2022,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC23099,6/1/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230100,6/1/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230101,6/4/2022,Part Paid,,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC230102,6/5/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230103,6/6/2022,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230104,6/8/2022,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230105,6/9/2022,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230106,6/9/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230107,6/9/2022,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230108,6/10/2022,Closed Won,,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC230109,6/10/2022,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230110,6/10/2022,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230111,6/11/2022,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230112,6/13/2022,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230113,6/13/2022,Closed Won,,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC230114,6/13/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230115,6/13/2022,Closed Lost,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230116,6/13/2022,Closed Lost,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230117,6/13/2022,Closed Won,,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC230118,6/15/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230119,6/15/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230120,6/16/2022,Closed Won,,NULL,Weekend,Virtual,MG05,CP01,LC02
DMCC230121,6/17/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230122,6/17/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230123,6/17/2022,Closed Won,,NULL,Weekend,Physical,MG05,CP01,LC02
DMCC230124,7/2/2022,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230125,7/3/2022,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230126,7/3/2022,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230127,7/3/2022,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230128,7/7/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230129,7/8/2022,Nurturing,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230130,7/10/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230131,7/10/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230132,7/10/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230133,7/11/2022,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230134,7/11/2022,Closed Won,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC230135,7/11/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230136,7/12/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230137,7/12/2022,Closed Lost,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC230138,7/12/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230139,7/13/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230140,7/13/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230141,7/14/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230142,8/9/2022,Committed to Pay,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230143,8/12/2022,Prospecting,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC230144,8/16/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230145,8/17/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230146,8/19/2022,Closed Won,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC230147,8/20/2022,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230148,8/26/2022,Closed Won,,NULL,Weekend,Virtual,MG08,CP01,LC02
DMCC230149,8/30/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230150,9/3/2022,Prospecting,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230151,9/3/2022,Closed Lost,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230152,9/4/2022,Closed Lost,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230153,9/5/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230154,9/5/2022,Closed Won,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230155,9/5/2022,Committed to Pay,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230156,9/7/2022,Committed to Pay,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230157,9/8/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230158,9/8/2022,Closed Lost,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230159,9/9/2022,Closed Lost,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230160,9/9/2022,Closed Lost,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230161,9/14/2022,Closed Won,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230162,9/16/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230163,9/17/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230164,9/17/2022,Closed Won,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230165,10/3/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230166,10/4/2022,Closed Lost,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230167,10/5/2022,Prospecting,,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230168,10/6/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230169,10/7/2022,Closed Lost,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230170,10/8/2022,Closed Lost,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230171,10/10/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230172,10/10/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230173,10/10/2022,Part Paid,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230174,10/11/2022,Closed Won,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230175,10/11/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230176,10/12/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230177,10/14/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230178,10/15/2022,Committed to Pay,,NULL,Weekend,Virtual,MG07,CP01,LC02
DMCC230179,10/15/2022,Part Paid,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230180,10/18/2022,Prospecting,,NULL,Weekend,Virtual,MG07,CP01,LC02
DMCC230181,10/20/2022,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230182,2/15/2023,Prospecting,,NULL,Weekend,Virtual,MG07,CP01,LC02
DMCC230183,2/15/2023,Closed Lost,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230184,2/15/2023,Closed Won,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230185,2/17/2023,Prospecting,,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230186,2/17/2023,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230187,2/18/2023,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230188,2/19/2023,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230189,2/19/2023,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230190,2/20/2023,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230191,2/26/2023,Part Paid,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230192,3/29/2023,Closed Lost,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230193,4/2/2023,Nurturing,,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230194,4/5/2023,Committed to Pay,,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230195,4/5/2023,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230196,4/5/2023,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230197,4/6/2023,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230198,4/6/2023,Closed Won,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230199,4/8/2023,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230200,4/8/2023,Closed Lost,,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230201,4/8/2023,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230202,4/10/2023,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230203,4/15/2023,Prospecting,,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230204,4/24/2023,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230205,4/24/2023,Nurturing,,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230206,4/24/2023,Closed Lost,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230207,4/27/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230208,4/28/2023,Nurturing,,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230209,4/28/2023,Closed Lost,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230210,4/29/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230211,4/29/2023,Closed Lost,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230212,4/29/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230213,4/30/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230214,5/3/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230215,5/4/2023,Closed Lost,,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230216,5/5/2023,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230217,5/5/2023,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230218,5/5/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230219,5/7/2023,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230220,5/8/2023,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230221,5/8/2023,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230222,5/12/2023,Closed Won,,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230223,5/19/2023,Closed Won,,NULL,Weekend,Virtual,MG01,CP01,LC02
DMCC230224,5/24/2023,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230225,5/25/2023,Closed Won,,NULL,Weekend,Physical,MG07,CP01,LC02
DMCC230226,5/27/2023,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230227,5/28/2023,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230228,5/28/2023,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230229,6/3/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230230,6/6/2023,Prospecting,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230231,6/6/2023,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230232,6/23/2023,Part Paid,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230233,6/23/2023,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230234,7/6/2023,Closed Won,,NULL,Weekend,Physical,MG01,CP01,LC02
DMCC230235,7/21/2023,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230236,7/21/2023,Closed Won,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230237,7/22/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230238,7/24/2023,Closed Won,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230239,7/30/2023,Closed Lost,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230240,8/5/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230241,8/26/2023,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230242,8/26/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230243,8/31/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230244,9/7/2023,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230245,9/8/2023,Part Paid,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230246,9/9/2023,Nurturing,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230247,9/20/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230248,9/20/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230249,9/22/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230250,9/26/2023,Prospecting,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC230251,9/26/2023,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230252,9/26/2023,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230253,9/26/2023,Prospecting,,NULL,Weekend,Virtual,NULL,CP01,LC02
DMCC230254,9/27/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230255,10/1/2023,Closed Lost,,NULL,Weekend,Physical,MG12,CP01,LC02
DMCC230256,10/2/2023,Part Paid,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230257,10/2/2023,Closed Won,,NULL,Weekend,Physical,MG08,CP01,LC02
DMCC230258,10/2/2023,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230259,10/6/2023,Prospecting,,NULL,Weekend,Virtual,MG12,CP01,LC02
DMCC230260,10/10/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230261,10/11/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230262,10/23/2023,Prospecting,,NULL,Weekend,Physical,MG12,CP01,LC02
DMCC230263,11/8/2023,Closed Won,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230264,11/9/2023,Prospecting,,NULL,Weekend,Physical,MG12,CP01,LC02
DMCC230265,11/22/2023,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230266,11/29/2023,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230267,11/29/2023,Prospecting,,NULL,Weekend,Physical,NULL,CP01,LC02
DMCC230268,12/3/2023,Closed Won,,NULL,Weekend,Physical,MG12,CP01,LC02
DMCC230269,12/18/2023,Prospecting,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230270,12/20/2023,Prospecting,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230271,12/20/2023,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230272,12/22/2023,Closed Lost,,NULL,Weekend,Virtual,MG04,CP01,LC02
DMCC230273,12/25/2023,Closed Lost,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230274,12/27/2023,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230275,12/28/2023,Closed Lost,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230276,12/30/2023,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230277,12/30/2023,Closed Lost,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230278,12/30/2023,Closed Lost,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230279,1/1/2024,Prospecting,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230280,1/2/2024,Nurturing,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230281,1/3/2024,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230282,1/3/2024,Prospecting,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230283,1/3/2024,Nurturing,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230284,1/4/2024,Nurturing,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230285,1/4/2024,Nurturing,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230286,1/4/2024,Nurturing,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230287,1/4/2024,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230288,1/6/2024,Closed Won,,NULL,Weekend,Physical,MG12,CP01,LC02
DMCC230289,1/8/2024,Closed Won,,NULL,Weekend,Physical,MG12,CP01,LC02
DMCC230290,1/8/2024,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230291,1/10/2024,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230292,1/12/2024,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230293,1/13/2024,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230294,1/16/2024,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230295,1/19/2024,Nurturing,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230296,1/21/2024,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230297,1/27/2024,Nurturing,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230298,1/27/2024,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
DMCC230299,1/29/2024,Closed Won,,NULL,Weekend,Physical,MG04,CP01,LC02
