Product_ID,Item Purchased,Category,Size,Color,Season,Previous Purchases,Frequency of Purchases
PR128,Sweater,Clothing,M,Gray,Winter,26,Weekly
PR129,Scarf,Accessories,M,Gold,Spring,21,Fortnightly
PR130,Dress,Clothing,XL,Olive,Summer,49,Bi-Weekly
PR131,Scarf,Accessories,L,Violet,Fall,13,Fortnightly
PR132,Skirt,Clothing,L,Indigo,Summer,46,Weekly
PR133,Backpack,Accessories,M,Orange,Fall,42,Weekly
PR134,Sweater,Clothing,M,Violet,Winter,25,Annually
PR135,Hat,Accessories,L,Gray,Fall,25,Monthly
PR136,Sandals,Footwear,M,Purple,Fall,12,Quarterly
PR137,Blouse,Clothing,M,White,Winter,4,Quarterly
PR138,Sneakers,Footwear,M,Turquoise,Spring,38,Weekly
PR139,Skirt,Clothing,M,Maroon,Winter,42,Weekly
PR140,Coat,Outerwear,M,White,Fall,30,Annually
PR141,Shirt,Clothing,L,Yellow,Fall,50,Weekly
PR142,Gloves,Accessories,M,Turquoise,Fall,45,Weekly
PR143,Jacket,Outerwear,L,Violet,Fall,33,Fortnightly
PR144,Coat,Outerwear,M,Beige,Fall,25,Quarterly
PR145,Shoes,Footwear,M,Silver,Fall,25,Monthly
PR146,Jewelry,Accessories,M,Teal,Fall,44,Quarterly
PR147,Skirt,Clothing,S,Black,Fall,21,Fortnightly
PR148,Shoes,Footwear,M,Purple,Summer,31,Fortnightly
PR149,Gloves,Accessories,M,Gray,Fall,47,Annually
PR150,Pants,Clothing,M,White,Summer,14,Monthly
PR151,Boots,Footwear,L,Cyan,Fall,17,Every 3 Months
PR152,Sunglasses,Accessories,L,Turquoise,Fall,3,Annually
PR153,Shirt,Clothing,S,Brown,Summer,42,Annually
PR154,Hoodie,Clothing,M,Maroon,Winter,22,Annually
PR155,Dress,Clothing,M,Charcoal,Fall,21,Quarterly
PR156,Socks,Clothing,S,Olive,Spring,21,Quarterly
PR157,Shorts,Clothing,M,Lavender,Fall,40,Annually
PR158,Hat,Accessories,S,Yellow,Fall,1,Fortnightly
PR159,Shirt,Clothing,XL,Teal,Fall,50,Monthly
PR160,Gloves,Accessories,M,Charcoal,Fall,39,Every 3 Months
PR161,Gloves,Accessories,M,Orange,Summer,34,Monthly
PR162,Backpack,Accessories,M,Olive,Fall,29,Fortnightly
PR163,Sunglasses,Accessories,M,Turquoise,Summer,31,Bi-Weekly
PR164,Skirt,Clothing,M,Purple,Summer,8,Weekly
PR165,Handbag,Accessories,S,Purple,Spring,5,Fortnightly
PR166,Handbag,Accessories,S,Yellow,Winter,7,Monthly
PR167,Sneakers,Footwear,XL,Indigo,Fall,30,Monthly
PR168,Gloves,Accessories,M,Green,Fall,14,Every 3 Months
PR169,Shoes,Footwear,M,Magenta,Summer,5,Fortnightly
PR170,Jacket,Outerwear,S,Gold,Summer,3,Every 3 Months
PR171,Shirt,Clothing,M,Maroon,Fall,46,Bi-Weekly
PR172,Shorts,Clothing,M,Blue,Summer,4,Weekly
PR173,Jewelry,Accessories,M,Violet,Summer,42,Bi-Weekly
PR174,Hat,Accessories,M,Turquoise,Fall,30,Annually
PR175,Shoes,Footwear,L,Brown,Winter,37,Annually
PR176,Coat,Outerwear,L,Violet,Fall,2,Annually
PR177,Backpack,Accessories,L,Black,Spring,30,Quarterly
PR178,Hoodie,Clothing,L,Magenta,Fall,47,Monthly
PR179,Skirt,Clothing,L,Lavender,Fall,21,Quarterly
PR180,Boots,Footwear,M,Violet,Fall,9,Fortnightly
PR181,Sandals,Footwear,L,Green,Fall,12,Fortnightly
PR182,Pants,Clothing,M,Beige,Summer,4,Weekly
PR183,Gloves,Accessories,XL,Purple,Summer,10,Annually
PR184,Skirt,Clothing,XL,Beige,Spring,26,Weekly
PR185,Sneakers,Footwear,L,Cyan,Spring,40,Fortnightly
PR186,T-shirt,Clothing,XL,Silver,Summer,34,Fortnightly
PR187,Backpack,Accessories,S,Lavender,Summer,31,Annually
PR188,Shoes,Footwear,S,Purple,Spring,1,Bi-Weekly
PR189,Hoodie,Clothing,M,Pink,Spring,5,Bi-Weekly
PR190,Blouse,Clothing,M,Maroon,Fall,4,Weekly
PR191,Coat,Outerwear,XL,Beige,Fall,48,Quarterly
PR192,Hat,Accessories,M,Gray,Fall,29,Every 3 Months
PR193,Shoes,Footwear,L,Turquoise,Summer,12,Bi-Weekly
PR194,Belt,Accessories,S,Silver,Fall,29,Annually
PR195,Backpack,Accessories,M,Olive,Spring,15,Quarterly
PR196,Jacket,Outerwear,M,Magenta,Fall,34,Monthly
PR197,Boots,Footwear,M,Lavender,Summer,41,Fortnightly
PR198,Scarf,Accessories,M,Black,Fall,41,Monthly
PR199,Jewelry,Accessories,M,Turquoise,Winter,39,Fortnightly
PR200,Hat,Accessories,XL,Green,Summer,32,Weekly
PR201,Dress,Clothing,S,Teal,Summer,29,Monthly
PR202,Blouse,Clothing,S,Beige,Fall,15,Annually
PR203,Hat,Accessories,L,Magenta,Spring,33,Annually
PR204,Scarf,Accessories,S,Yellow,Fall,18,Weekly
PR205,Sneakers,Footwear,M,Yellow,Fall,35,Bi-Weekly
PR206,Shirt,Clothing,M,Silver,Winter,25,Weekly
PR207,T-shirt,Clothing,L,Silver,Summer,6,Fortnightly
PR208,Gloves,Accessories,M,Silver,Summer,17,Bi-Weekly
PR209,Skirt,Clothing,M,Gold,Spring,17,Monthly
PR210,Sandals,Footwear,S,Olive,Winter,44,Every 3 Months
PR211,Jacket,Outerwear,L,Teal,Fall,6,Fortnightly
PR212,Skirt,Clothing,L,Maroon,Fall,45,Fortnightly
PR213,Handbag,Accessories,L,Blue,Fall,7,Annually
PR214,Handbag,Accessories,L,Peach,Fall,11,Every 3 Months
PR215,Jacket,Outerwear,L,Blue,Summer,41,Every 3 Months
PR216,Scarf,Accessories,S,Orange,Spring,24,Bi-Weekly
PR217,Shorts,Clothing,L,Yellow,Spring,21,Weekly
PR218,Sunglasses,Accessories,M,Purple,Winter,24,Annually
PR219,T-shirt,Clothing,S,Magenta,Spring,8,Quarterly
PR220,Belt,Accessories,M,Cyan,Spring,12,Fortnightly
PR221,Sneakers,Footwear,S,Indigo,Spring,48,Fortnightly
PR222,Hat,Accessories,XL,Magenta,Summer,6,Quarterly
PR223,Gloves,Accessories,XL,Gray,Spring,14,Fortnightly
PR224,Pants,Clothing,M,Turquoise,Spring,34,Annually
PR225,Socks,Clothing,S,Beige,Summer,12,Every 3 Months
PR226,Jacket,Outerwear,M,Olive,Spring,11,Annually
PR227,Shoes,Footwear,L,Violet,Spring,5,Monthly
PR228,Jeans,Clothing,M,Turquoise,Winter,25,Fortnightly
PR229,Socks,Clothing,M,White,Spring,11,Annually
PR230,Sandals,Footwear,S,Silver,Spring,27,Every 3 Months
PR231,Scarf,Accessories,L,Olive,Fall,43,Annually
PR232,Blouse,Clothing,M,Blue,Spring,18,Every 3 Months
PR233,Jewelry,Accessories,L,Purple,Winter,32,Bi-Weekly
PR234,Sweater,Clothing,XL,Yellow,Fall,27,Every 3 Months
PR235,Gloves,Accessories,S,Silver,Summer,24,Weekly
PR236,Sunglasses,Accessories,M,Cyan,Winter,31,Quarterly
PR237,Coat,Outerwear,L,Green,Winter,39,Fortnightly
PR238,Dress,Clothing,M,Beige,Summer,36,Fortnightly
PR239,Skirt,Clothing,M,Peach,Fall,5,Annually
PR240,Pants,Clothing,L,Yellow,Summer,47,Bi-Weekly
PR241,Sweater,Clothing,XL,Turquoise,Winter,29,Fortnightly
PR242,Hoodie,Clothing,M,Peach,Winter,43,Bi-Weekly
PR243,Coat,Outerwear,L,Gray,Summer,40,Every 3 Months
PR244,Jewelry,Accessories,M,Olive,Winter,4,Monthly
PR245,Belt,Accessories,S,Indigo,Spring,39,Weekly
PR246,Sandals,Footwear,L,Charcoal,Summer,45,Fortnightly
PR247,Sunglasses,Accessories,XL,Beige,Spring,20,Bi-Weekly
PR248,Sweater,Clothing,XL,Brown,Spring,14,Weekly
PR249,Belt,Accessories,M,Blue,Winter,33,Weekly
PR250,Handbag,Accessories,S,Teal,Fall,18,Annually
PR251,Skirt,Clothing,L,Black,Fall,9,Weekly
PR252,Handbag,Accessories,XL,Gold,Winter,34,Annually
PR253,Shorts,Clothing,M,Violet,Summer,33,Fortnightly
PR254,Boots,Footwear,L,Cyan,Winter,15,Bi-Weekly
PR255,Sunglasses,Accessories,M,White,Winter,4,Bi-Weekly
PR256,Scarf,Accessories,M,Charcoal,Spring,25,Annually
PR257,Jewelry,Accessories,XL,Violet,Spring,20,Every 3 Months
PR258,Handbag,Accessories,M,Red,Summer,5,Quarterly
PR259,Gloves,Accessories,S,Lavender,Spring,16,Quarterly
PR260,Jeans,Clothing,M,Gold,Fall,13,Annually
PR261,Hat,Accessories,S,Red,Winter,11,Every 3 Months
PR262,Jeans,Clothing,L,Magenta,Winter,21,Annually
PR263,Pants,Clothing,M,Teal,Summer,6,Annually
PR264,Shorts,Clothing,M,Purple,Summer,29,Monthly
PR265,Pants,Clothing,S,Charcoal,Fall,15,Annually
PR266,Backpack,Accessories,M,Gray,Spring,17,Bi-Weekly
PR267,Jewelry,Accessories,L,White,Summer,32,Weekly
PR268,Sweater,Clothing,M,Olive,Spring,42,Annually
PR269,Shoes,Footwear,M,Charcoal,Spring,21,Monthly
PR270,Blouse,Clothing,M,Charcoal,Winter,9,Bi-Weekly
PR271,Jeans,Clothing,XL,Orange,Fall,16,Annually
PR272,Sunglasses,Accessories,XL,Yellow,Summer,42,Fortnightly
PR273,Jewelry,Accessories,M,Beige,Summer,37,Bi-Weekly
PR274,Coat,Outerwear,S,Silver,Spring,32,Quarterly
PR275,Jewelry,Accessories,M,Indigo,Spring,28,Bi-Weekly
PR276,Backpack,Accessories,XL,Lavender,Winter,13,Weekly
PR277,Skirt,Clothing,XL,Turquoise,Fall,11,Fortnightly
PR278,Shirt,Clothing,M,Green,Winter,36,Bi-Weekly
PR279,Sweater,Clothing,M,Orange,Spring,23,Annually
PR280,Sneakers,Footwear,L,Turquoise,Summer,37,Monthly
PR281,Sandals,Footwear,S,Cyan,Fall,21,Bi-Weekly
PR282,Belt,Accessories,XL,Charcoal,Spring,22,Bi-Weekly
PR283,Skirt,Clothing,M,Teal,Summer,9,Monthly
PR284,Sweater,Clothing,S,Maroon,Fall,16,Annually
PR285,Skirt,Clothing,M,Red,Summer,4,Quarterly
PR286,Handbag,Accessories,XL,Yellow,Summer,3,Bi-Weekly
PR287,Jewelry,Accessories,L,Gray,Summer,6,Annually
PR288,Scarf,Accessories,L,Blue,Spring,18,Fortnightly
PR289,T-shirt,Clothing,M,Lavender,Winter,34,Bi-Weekly
PR290,Coat,Outerwear,M,Yellow,Fall,26,Monthly
PR291,T-shirt,Clothing,M,Indigo,Winter,50,Weekly
PR292,Dress,Clothing,XL,Violet,Fall,40,Monthly
PR293,Shoes,Footwear,M,Green,Spring,24,Quarterly
PR294,Handbag,Accessories,M,White,Spring,33,Annually
PR295,Skirt,Clothing,M,Gold,Spring,19,Every 3 Months
PR296,Sunglasses,Accessories,M,Indigo,Winter,24,Quarterly
PR297,Sandals,Footwear,S,Lavender,Spring,19,Weekly
PR298,Shoes,Footwear,XL,Purple,Summer,4,Bi-Weekly
PR299,T-shirt,Clothing,M,Lavender,Winter,11,Every 3 Months
PR300,Sneakers,Footwear,M,Maroon,Summer,28,Fortnightly
PR301,Hat,Accessories,M,Teal,Spring,24,Weekly
PR302,Skirt,Clothing,M,Green,Spring,25,Every 3 Months
PR303,Sweater,Clothing,L,Olive,Summer,27,Every 3 Months
PR304,Sandals,Footwear,M,Turquoise,Summer,49,Weekly
PR305,Dress,Clothing,M,Green,Winter,45,Bi-Weekly
PR306,Sweater,Clothing,M,Teal,Fall,26,Annually
PR307,Jacket,Outerwear,S,White,Summer,4,Annually
PR308,Gloves,Accessories,M,Orange,Winter,3,Every 3 Months
PR309,Handbag,Accessories,M,Beige,Fall,45,Bi-Weekly
PR310,Dress,Clothing,M,Yellow,Spring,21,Fortnightly
PR311,Pants,Clothing,M,Charcoal,Winter,50,Fortnightly
PR312,Jeans,Clothing,L,Silver,Winter,19,Monthly
PR313,Pants,Clothing,L,Green,Spring,6,Annually
PR314,Dress,Clothing,M,Pink,Spring,50,Every 3 Months
PR315,Pants,Clothing,M,Purple,Summer,17,Every 3 Months
PR316,Jewelry,Accessories,XL,Orange,Spring,24,Annually
PR317,Handbag,Accessories,M,Charcoal,Fall,46,Monthly
PR318,Sweater,Clothing,L,Teal,Fall,42,Every 3 Months
PR319,Backpack,Accessories,M,Beige,Winter,10,Annually
PR320,Shorts,Clothing,XL,White,Spring,1,Every 3 Months
PR321,Jewelry,Accessories,L,White,Summer,28,Quarterly
PR322,Sneakers,Footwear,L,Orange,Summer,48,Quarterly
PR323,Belt,Accessories,S,Cyan,Winter,47,Monthly
PR324,Hoodie,Clothing,M,Orange,Winter,29,Bi-Weekly
PR325,Shirt,Clothing,M,Olive,Summer,37,Quarterly
PR326,Pants,Clothing,M,Charcoal,Winter,38,Annually
PR327,Scarf,Accessories,M,White,Fall,48,Weekly
PR328,Coat,Outerwear,M,Teal,Summer,36,Weekly
PR329,Coat,Outerwear,M,Yellow,Fall,9,Weekly
PR330,Socks,Clothing,S,White,Summer,34,Monthly
PR331,Sweater,Clothing,M,Beige,Winter,43,Bi-Weekly
PR332,Shirt,Clothing,L,Beige,Fall,46,Quarterly
PR333,Shirt,Clothing,M,Maroon,Winter,5,Monthly
PR334,Sweater,Clothing,M,Teal,Winter,15,Bi-Weekly
PR335,Blouse,Clothing,M,Lavender,Fall,30,Annually
PR336,Sweater,Clothing,L,Maroon,Spring,44,Every 3 Months
PR337,Hat,Accessories,S,Orange,Fall,16,Annually
PR338,Sweater,Clothing,M,Cyan,Winter,16,Annually
PR339,Hoodie,Clothing,M,Silver,Winter,16,Weekly
PR340,Shorts,Clothing,M,Teal,Spring,21,Every 3 Months
PR341,Shorts,Clothing,L,Blue,Summer,39,Every 3 Months
PR342,Hat,Accessories,S,Blue,Summer,40,Bi-Weekly
PR343,Coat,Outerwear,M,Olive,Spring,48,Every 3 Months
PR344,Sandals,Footwear,M,Purple,Summer,26,Monthly
PR345,Skirt,Clothing,M,Charcoal,Winter,46,Monthly
PR346,Shoes,Footwear,S,Olive,Winter,27,Annually
PR347,Jeans,Clothing,L,Violet,Spring,5,Weekly
PR348,Sandals,Footwear,L,Red,Fall,43,Fortnightly
PR349,Blouse,Clothing,M,Beige,Fall,17,Fortnightly
PR350,Hat,Accessories,M,Green,Winter,3,Bi-Weekly
PR351,Sweater,Clothing,M,Violet,Spring,47,Fortnightly
PR352,Skirt,Clothing,M,Teal,Winter,24,Bi-Weekly
PR353,Jeans,Clothing,XL,Yellow,Fall,12,Every 3 Months
PR354,Sneakers,Footwear,L,Yellow,Fall,35,Monthly
PR355,Jewelry,Accessories,S,Olive,Fall,42,Weekly
PR356,Jewelry,Accessories,XL,Magenta,Fall,1,Every 3 Months
PR357,Pants,Clothing,L,Black,Spring,27,Weekly
PR358,Belt,Accessories,M,Olive,Spring,16,Bi-Weekly
PR359,Hat,Accessories,XL,Magenta,Summer,36,Every 3 Months
PR360,Sneakers,Footwear,M,Olive,Winter,30,Every 3 Months
PR361,Pants,Clothing,M,Teal,Summer,18,Fortnightly
PR362,T-shirt,Clothing,M,White,Spring,45,Annually
PR363,Sneakers,Footwear,M,Charcoal,Fall,1,Fortnightly
PR364,Shorts,Clothing,L,Yellow,Winter,42,Fortnightly
PR365,Shoes,Footwear,L,Charcoal,Summer,7,Every 3 Months
PR366,Gloves,Accessories,XL,Gray,Summer,50,Quarterly
PR367,Socks,Clothing,M,Turquoise,Spring,37,Fortnightly
PR368,Dress,Clothing,XL,Cyan,Spring,18,Monthly
PR369,Handbag,Accessories,M,Charcoal,Spring,29,Monthly
PR370,Belt,Accessories,M,Silver,Summer,45,Quarterly
PR371,Scarf,Accessories,M,Olive,Winter,13,Weekly
PR372,Sneakers,Footwear,S,Pink,Winter,47,Monthly
PR373,Sweater,Clothing,L,Orange,Summer,7,Weekly
PR374,Coat,Outerwear,L,White,Summer,11,Bi-Weekly
PR375,Jewelry,Accessories,S,Purple,Spring,39,Monthly
PR376,Sunglasses,Accessories,M,Olive,Summer,6,Quarterly
PR377,Shoes,Footwear,S,Gray,Fall,2,Bi-Weekly
PR378,Scarf,Accessories,M,Silver,Spring,39,Every 3 Months
PR379,Dress,Clothing,L,Orange,Winter,23,Monthly
PR380,T-shirt,Clothing,S,Magenta,Fall,46,Bi-Weekly
PR381,Backpack,Accessories,XL,Beige,Fall,19,Weekly
PR382,Jewelry,Accessories,L,Lavender,Winter,3,Every 3 Months
PR383,Jeans,Clothing,M,Peach,Winter,47,Quarterly
PR384,Sunglasses,Accessories,S,Magenta,Fall,6,Quarterly
PR385,Sweater,Clothing,M,Beige,Fall,6,Annually
PR386,Shorts,Clothing,S,Yellow,Fall,12,Bi-Weekly
PR387,Jewelry,Accessories,L,Brown,Spring,40,Quarterly
PR388,Coat,Outerwear,L,Silver,Summer,38,Fortnightly
PR389,Handbag,Accessories,M,Orange,Summer,10,Quarterly
PR390,Boots,Footwear,L,Purple,Spring,28,Monthly
PR391,Gloves,Accessories,M,Indigo,Winter,19,Annually
PR392,Sweater,Clothing,L,Gray,Spring,25,Fortnightly
PR393,T-shirt,Clothing,XL,Black,Spring,38,Annually
PR394,Shoes,Footwear,L,Maroon,Fall,6,Fortnightly
PR395,Scarf,Accessories,M,Beige,Spring,7,Bi-Weekly
PR396,Sneakers,Footwear,L,Brown,Winter,2,Annually
PR397,Dress,Clothing,S,Black,Fall,24,Annually
PR398,Belt,Accessories,M,Indigo,Fall,26,Annually
PR399,Boots,Footwear,S,Silver,Winter,25,Every 3 Months
PR400,Scarf,Accessories,L,Blue,Fall,10,Monthly
PR401,Boots,Footwear,M,Green,Winter,14,Fortnightly
PR402,T-shirt,Clothing,L,Orange,Fall,21,Quarterly
PR403,Backpack,Accessories,L,Cyan,Fall,26,Monthly
PR404,Sneakers,Footwear,M,Orange,Winter,12,Annually
PR405,T-shirt,Clothing,M,Indigo,Spring,11,Monthly
PR406,Jeans,Clothing,S,Silver,Summer,15,Annually
PR407,Gloves,Accessories,M,Peach,Spring,13,Monthly
PR408,Hoodie,Clothing,XL,Teal,Spring,5,Bi-Weekly
PR409,Sneakers,Footwear,L,White,Spring,36,Fortnightly
PR410,Shorts,Clothing,M,Brown,Winter,32,Monthly
PR411,Sweater,Clothing,L,Lavender,Spring,1,Quarterly
PR412,Jeans,Clothing,M,Indigo,Summer,15,Annually
PR413,Jacket,Outerwear,M,Yellow,Summer,3,Weekly
PR414,Jewelry,Accessories,S,White,Summer,48,Monthly
PR415,Backpack,Accessories,L,Violet,Winter,30,Weekly
PR416,Coat,Outerwear,M,Lavender,Winter,40,Monthly
PR417,Belt,Accessories,L,Olive,Spring,24,Fortnightly
PR418,Sandals,Footwear,L,Beige,Fall,48,Quarterly
PR419,Sweater,Clothing,L,Purple,Spring,27,Bi-Weekly
PR420,Shorts,Clothing,S,Teal,Winter,14,Every 3 Months
PR421,Socks,Clothing,S,Peach,Spring,18,Bi-Weekly
PR422,Shirt,Clothing,M,Violet,Winter,48,Bi-Weekly
PR423,Pants,Clothing,M,Purple,Fall,32,Annually
PR424,Scarf,Accessories,L,Teal,Spring,21,Bi-Weekly
PR425,Sweater,Clothing,M,Gold,Winter,42,Fortnightly
PR426,Jeans,Clothing,S,Teal,Winter,4,Quarterly
PR427,Pants,Clothing,M,Violet,Winter,19,Quarterly
