Trans_ID,Purchase Amount (USD),Location,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Preferred Payment Method,Product_ID,Customer ID
TR45,53,Kentucky,Bank Transfer,Free Shipping,Yes,Yes,PayPal,PR45,Cu45
TR46,21,Tennessee,Venmo,2-Day Shipping,Yes,Yes,PayPal,PR46,Cu46
TR47,43,California,Venmo,Store Pickup,Yes,Yes,Cash,PR47,Cu47
TR48,54,Montana,Debit Card,Free Shipping,Yes,Yes,Cash,PR48,Cu48
TR49,55,Nevada,Debit Card,Store Pickup,Yes,Yes,Cash,PR49,Cu49
TR50,30,New Jersey,Bank Transfer,Next Day Air,Yes,Yes,Debit Card,PR50,Cu50
TR51,28,Maryland,Cash,Store Pickup,Yes,Yes,Debit Card,PR51,Cu51
TR52,59,Vermont,PayPal,2-Day Shipping,Yes,Yes,Credit Card,PR52,Cu52
TR53,20,Alaska,Credit Card,Free Shipping,Yes,Yes,Credit Card,PR53,Cu53
TR54,24,Mississippi,Debit Card,Next Day Air,Yes,Yes,Credit Card,PR54,Cu54
TR55,94,New Mexico,Bank Transfer,Next Day Air,Yes,Yes,Debit Card,PR55,Cu55
TR56,28,South Carolina,Venmo,2-Day Shipping,Yes,Yes,Credit Card,PR56,Cu56
TR57,73,Mississippi,PayPal,Store Pickup,Yes,Yes,Credit Card,PR57,Cu57
TR58,64,West Virginia,PayPal,Store Pickup,Yes,Yes,Debit Card,PR58,Cu58
TR59,54,Missouri,Credit Card,Free Shipping,Yes,Yes,Venmo,PR59,Cu59
TR60,79,Louisiana,Debit Card,Standard,Yes,Yes,Debit Card,PR60,Cu60
TR61,37,Idaho,Credit Card,Express,Yes,Yes,Cash,PR61,Cu61
TR62,68,Texas,Bank Transfer,Store Pickup,Yes,Yes,Credit Card,PR62,Cu62
TR63,21,Mississippi,Credit Card,Free Shipping,Yes,Yes,Credit Card,PR63,Cu63
TR64,79,Arizona,Credit Card,2-Day Shipping,Yes,Yes,Credit Card,PR64,Cu64
TR65,83,Alabama,PayPal,Standard,Yes,Yes,Debit Card,PR65,Cu65
TR66,36,New Jersey,Credit Card,2-Day Shipping,Yes,Yes,Venmo,PR66,Cu66
TR67,94,Pennsylvania,Bank Transfer,2-Day Shipping,Yes,Yes,Venmo,PR67,Cu67
TR68,33,Connecticut,PayPal,Store Pickup,Yes,Yes,Debit Card,PR68,Cu68
TR69,46,Utah,Credit Card,Next Day Air,Yes,Yes,Cash,PR69,Cu69
TR70,70,Tennessee,Credit Card,Express,Yes,Yes,Cash,PR70,Cu70
TR71,29,Alabama,Credit Card,Express,Yes,Yes,Debit Card,PR71,Cu71
TR72,48,Virginia,Debit Card,Express,Yes,Yes,Bank Transfer,PR72,Cu72
TR73,26,Georgia,Debit Card,Store Pickup,Yes,Yes,Bank Transfer,PR73,Cu73
TR74,85,Hawaii,Debit Card,Free Shipping,Yes,Yes,Bank Transfer,PR74,Cu74
TR75,58,Indiana,PayPal,Express,Yes,Yes,Cash,PR75,Cu75
TR76,85,Utah,Debit Card,Free Shipping,Yes,Yes,Credit Card,PR76,Cu76
TR77,43,Delaware,Bank Transfer,Free Shipping,Yes,Yes,Venmo,PR77,Cu77
TR78,53,Delaware,Debit Card,Next Day Air,Yes,Yes,Debit Card,PR78,Cu78
TR79,91,Nebraska,Venmo,Free Shipping,Yes,Yes,Venmo,PR79,Cu79
TR80,96,Iowa,Bank Transfer,2-Day Shipping,Yes,Yes,Bank Transfer,PR80,Cu80
TR81,72,New York,Credit Card,Store Pickup,Yes,Yes,Credit Card,PR81,Cu81
TR82,96,Virginia,PayPal,Express,Yes,Yes,Credit Card,PR82,Cu82
TR83,28,Georgia,Bank Transfer,2-Day Shipping,Yes,Yes,Credit Card,PR83,Cu83
TR84,40,Texas,Debit Card,Standard,Yes,Yes,Bank Transfer,PR84,Cu84
TR85,32,Arizona,Cash,Standard,Yes,Yes,Bank Transfer,PR85,Cu85
TR86,95,New Mexico,Credit Card,Next Day Air,Yes,Yes,Debit Card,PR86,Cu86
TR87,41,Nevada,Venmo,2-Day Shipping,Yes,Yes,Cash,PR87,Cu87
TR88,53,Ohio,Debit Card,2-Day Shipping,Yes,Yes,Debit Card,PR88,Cu88
TR89,47,Wyoming,Credit Card,Free Shipping,Yes,Yes,Credit Card,PR89,Cu89
TR90,83,California,Bank Transfer,Next Day Air,Yes,Yes,Cash,PR90,Cu90
TR91,48,South Carolina,Venmo,Express,Yes,Yes,Credit Card,PR91,Cu91
TR92,99,South Carolina,PayPal,Standard,Yes,Yes,Credit Card,PR92,Cu92
TR93,87,Texas,Cash,2-Day Shipping,Yes,Yes,Venmo,PR93,Cu93
TR94,62,Florida,PayPal,Standard,Yes,Yes,Credit Card,PR94,Cu94
TR95,76,Nevada,Bank Transfer,Free Shipping,Yes,Yes,Credit Card,PR95,Cu95
TR96,100,Missouri,PayPal,Free Shipping,Yes,Yes,PayPal,PR96,Cu96
TR97,73,Delaware,Venmo,Express,Yes,Yes,Venmo,PR97,Cu97
TR98,92,Virginia,PayPal,Store Pickup,Yes,Yes,Cash,PR98,Cu98
TR99,67,New York,Cash,Next Day Air,Yes,Yes,Bank Transfer,PR99,Cu99
TR100,40,Missouri,Cash,Express,Yes,Yes,Debit Card,PR100,Cu100
TR101,98,South Dakota,PayPal,Express,Yes,Yes,Cash,PR101,Cu101
TR102,85,North Dakota,Venmo,Express,Yes,Yes,Credit Card,PR102,Cu102
TR103,67,Oklahoma,Credit Card,Next Day Air,Yes,Yes,Credit Card,PR103,Cu103
TR104,89,West Virginia,Debit Card,Next Day Air,Yes,Yes,Venmo,PR104,Cu104
TR105,24,New Hampshire,Bank Transfer,2-Day Shipping,Yes,Yes,PayPal,PR105,Cu105
TR106,96,New York,Bank Transfer,Next Day Air,Yes,Yes,Bank Transfer,PR106,Cu106
TR107,35,Minnesota,Cash,Standard,Yes,Yes,Credit Card,PR107,Cu107
TR108,67,Maryland,Cash,Next Day Air,Yes,Yes,PayPal,PR108,Cu108
TR109,79,Montana,Bank Transfer,Next Day Air,Yes,Yes,Bank Transfer,PR109,Cu109
TR110,85,Alabama,Cash,Next Day Air,Yes,Yes,Bank Transfer,PR110,Cu110
TR111,26,New York,Bank Transfer,Standard,Yes,Yes,Venmo,PR111,Cu111
TR112,75,Massachusetts,PayPal,Free Shipping,Yes,Yes,Credit Card,PR112,Cu112
TR113,65,Florida,Credit Card,Free Shipping,Yes,Yes,PayPal,PR113,Cu113
TR114,54,New Jersey,Debit Card,Next Day Air,Yes,Yes,PayPal,PR114,Cu114
TR115,95,Massachusetts,Venmo,Store Pickup,Yes,Yes,Cash,PR115,Cu115
TR116,94,Wyoming,Cash,Standard,Yes,Yes,Debit Card,PR116,Cu116
TR117,86,Virginia,PayPal,Free Shipping,Yes,Yes,Venmo,PR117,Cu117
TR118,32,South Dakota,Bank Transfer,Express,Yes,Yes,Cash,PR118,Cu118
TR119,45,Kentucky,Bank Transfer,2-Day Shipping,Yes,Yes,Cash,PR119,Cu119
TR120,76,Wyoming,Debit Card,Express,Yes,Yes,Cash,PR120,Cu120
TR121,84,West Virginia,PayPal,Express,Yes,Yes,Bank Transfer,PR121,Cu121
TR122,72,Virginia,Cash,Standard,Yes,Yes,Cash,PR122,Cu122
TR123,40,Washington,Credit Card,2-Day Shipping,Yes,Yes,Cash,PR123,Cu123
TR124,89,Louisiana,Debit Card,Free Shipping,Yes,Yes,Cash,PR124,Cu124
TR125,86,Nevada,PayPal,Next Day Air,Yes,Yes,PayPal,PR125,Cu125
TR126,54,California,Cash,Next Day Air,Yes,Yes,Venmo,PR126,Cu126
TR127,36,Mississippi,Bank Transfer,Store Pickup,Yes,Yes,Cash,PR127,Cu127
TR128,89,Mississippi,Venmo,Next Day Air,Yes,Yes,Credit Card,PR128,Cu128
TR129,32,California,Venmo,Standard,Yes,Yes,Credit Card,PR129,Cu129
TR130,67,Pennsylvania,Cash,2-Day Shipping,Yes,Yes,PayPal,PR130,Cu130
TR131,39,Kentucky,Credit Card,Next Day Air,Yes,Yes,PayPal,PR131,Cu131
TR132,29,Maine,PayPal,Standard,Yes,Yes,Credit Card,PR132,Cu132
TR133,58,New Mexico,Bank Transfer,2-Day Shipping,Yes,Yes,PayPal,PR133,Cu133
TR134,65,Montana,Bank Transfer,Next Day Air,Yes,Yes,Venmo,PR134,Cu134
TR135,94,Texas,Credit Card,Store Pickup,Yes,Yes,Cash,PR135,Cu135
TR136,81,Kansas,PayPal,Express,Yes,Yes,PayPal,PR136,Cu136
TR137,86,South Carolina,Credit Card,Free Shipping,Yes,Yes,Debit Card,PR137,Cu137
TR138,43,Colorado,Cash,Free Shipping,Yes,Yes,PayPal,PR138,Cu138
TR139,29,Georgia,Cash,Store Pickup,Yes,Yes,Bank Transfer,PR139,Cu139
TR140,95,Florida,Debit Card,Store Pickup,Yes,Yes,Venmo,PR140,Cu140
TR141,28,North Carolina,Bank Transfer,2-Day Shipping,Yes,Yes,Credit Card,PR141,Cu141
TR142,46,Virginia,PayPal,Free Shipping,Yes,Yes,PayPal,PR142,Cu142
TR143,58,Nebraska,PayPal,Free Shipping,Yes,Yes,Credit Card,PR143,Cu143
TR144,48,Missouri,Bank Transfer,Store Pickup,Yes,Yes,PayPal,PR144,Cu144
TR145,43,New Jersey,Credit Card,Express,Yes,Yes,Cash,PR145,Cu145
TR146,95,Missouri,Venmo,Standard,Yes,Yes,Debit Card,PR146,Cu146
TR147,30,Colorado,Debit Card,Standard,Yes,Yes,Venmo,PR147,Cu147
TR148,64,Idaho,Bank Transfer,2-Day Shipping,Yes,Yes,Bank Transfer,PR148,Cu148
TR149,90,Wyoming,PayPal,Store Pickup,Yes,Yes,Debit Card,PR149,Cu149
TR150,76,Delaware,Venmo,Free Shipping,Yes,Yes,PayPal,PR150,Cu150
TR151,96,California,Bank Transfer,Standard,Yes,Yes,Debit Card,PR151,Cu151
TR152,47,North Dakota,Debit Card,Next Day Air,Yes,Yes,Venmo,PR152,Cu152
TR153,85,South Carolina,PayPal,Express,Yes,Yes,Venmo,PR153,Cu153
TR154,55,North Carolina,Debit Card,Standard,Yes,Yes,Debit Card,PR154,Cu154
TR155,98,Oklahoma,Debit Card,Next Day Air,Yes,Yes,Venmo,PR155,Cu155
TR156,77,Maine,Cash,Free Shipping,Yes,Yes,Bank Transfer,PR156,Cu156
TR157,26,Missouri,Venmo,Standard,Yes,Yes,Debit Card,PR157,Cu157
TR158,68,Vermont,Debit Card,Next Day Air,Yes,Yes,Bank Transfer,PR158,Cu158
TR159,73,Connecticut,Bank Transfer,Standard,Yes,Yes,Bank Transfer,PR159,Cu159
TR160,27,New Hampshire,Debit Card,Store Pickup,Yes,Yes,Bank Transfer,PR160,Cu160
TR161,23,Texas,Bank Transfer,Free Shipping,Yes,Yes,Venmo,PR161,Cu161
TR162,49,North Dakota,Venmo,Express,Yes,Yes,Venmo,PR162,Cu162
TR163,74,California,Credit Card,Store Pickup,Yes,Yes,PayPal,PR163,Cu163
TR164,67,Virginia,PayPal,Standard,Yes,Yes,Debit Card,PR164,Cu164
TR165,65,Delaware,Debit Card,Free Shipping,Yes,Yes,Credit Card,PR165,Cu165
TR166,60,Kentucky,Credit Card,Store Pickup,Yes,Yes,Cash,PR166,Cu166
TR167,31,Delaware,Cash,Store Pickup,Yes,Yes,Cash,PR167,Cu167
TR168,27,Arkansas,Venmo,Express,Yes,Yes,Credit Card,PR168,Cu168
TR169,80,Louisiana,Bank Transfer,Express,Yes,Yes,Cash,PR169,Cu169
TR170,30,Nevada,Credit Card,Standard,Yes,Yes,PayPal,PR170,Cu170
TR171,25,Wyoming,Venmo,Store Pickup,Yes,Yes,Venmo,PR171,Cu171
TR172,35,Virginia,Debit Card,Store Pickup,Yes,Yes,Credit Card,PR172,Cu172
TR173,67,Nebraska,Bank Transfer,Next Day Air,Yes,Yes,Credit Card,PR173,Cu173
TR174,46,Hawaii,PayPal,Standard,Yes,Yes,Cash,PR174,Cu174
TR175,35,Vermont,Venmo,Express,Yes,Yes,Venmo,PR175,Cu175
TR176,86,Oklahoma,Debit Card,Next Day Air,Yes,Yes,Bank Transfer,PR176,Cu176
TR177,81,New Hampshire,Bank Transfer,Next Day Air,Yes,Yes,Credit Card,PR177,Cu177
TR178,42,Kansas,Debit Card,Next Day Air,Yes,Yes,Bank Transfer,PR178,Cu178
TR179,43,Idaho,Debit Card,2-Day Shipping,Yes,Yes,PayPal,PR179,Cu179
TR180,31,Illinois,Debit Card,Store Pickup,Yes,Yes,Bank Transfer,PR180,Cu180
TR181,81,South Dakota,Cash,Store Pickup,Yes,Yes,Debit Card,PR181,Cu181
TR182,61,Massachusetts,Venmo,Next Day Air,Yes,Yes,Bank Transfer,PR182,Cu182
TR183,96,Alabama,Venmo,Store Pickup,Yes,Yes,Debit Card,PR183,Cu183
TR184,29,Ohio,Bank Transfer,2-Day Shipping,Yes,Yes,Credit Card,PR184,Cu184
TR185,33,Hawaii,Cash,Express,Yes,Yes,Cash,PR185,Cu185
TR186,32,Wisconsin,Bank Transfer,Store Pickup,Yes,Yes,Bank Transfer,PR186,Cu186
TR187,56,Minnesota,Debit Card,Standard,Yes,Yes,Debit Card,PR187,Cu187
TR188,94,Georgia,Credit Card,Store Pickup,Yes,Yes,Bank Transfer,PR188,Cu188
TR189,53,Arkansas,Credit Card,Express,Yes,Yes,Bank Transfer,PR189,Cu189
TR190,82,West Virginia,Venmo,Next Day Air,Yes,Yes,Credit Card,PR190,Cu190
TR191,70,Indiana,Venmo,Free Shipping,Yes,Yes,Venmo,PR191,Cu191
TR192,76,Utah,Credit Card,Free Shipping,Yes,Yes,Cash,PR192,Cu192
TR193,29,Nebraska,Venmo,Express,Yes,Yes,PayPal,PR193,Cu193
TR194,100,North Dakota,PayPal,Standard,Yes,Yes,Venmo,PR194,Cu194
TR195,94,Missouri,Venmo,Express,Yes,Yes,Debit Card,PR195,Cu195
TR196,25,New York,Credit Card,Free Shipping,Yes,Yes,Credit Card,PR196,Cu196
TR197,88,Washington,Cash,Next Day Air,Yes,Yes,Credit Card,PR197,Cu197
TR198,78,South Carolina,Debit Card,2-Day Shipping,Yes,Yes,Credit Card,PR198,Cu198
TR199,45,Utah,Cash,Standard,Yes,Yes,Credit Card,PR199,Cu199
TR200,73,Idaho,Debit Card,Express,Yes,Yes,Cash,PR200,Cu200
TR201,61,Pennsylvania,PayPal,Next Day Air,Yes,Yes,Venmo,PR201,Cu201
TR202,22,Missouri,Bank Transfer,Free Shipping,Yes,Yes,Bank Transfer,PR202,Cu202
TR203,38,Nebraska,Bank Transfer,Express,Yes,Yes,Venmo,PR203,Cu203
TR204,38,Indiana,PayPal,Next Day Air,Yes,Yes,Bank Transfer,PR204,Cu204
TR205,100,Arizona,PayPal,Store Pickup,Yes,Yes,Cash,PR205,Cu205
TR206,64,Hawaii,Bank Transfer,Standard,Yes,Yes,PayPal,PR206,Cu206
TR207,55,Wisconsin,Venmo,Free Shipping,Yes,Yes,Venmo,PR207,Cu207
TR208,91,Rhode Island,Venmo,Express,Yes,Yes,Bank Transfer,PR208,Cu208
TR209,38,Wisconsin,Cash,Store Pickup,Yes,Yes,Credit Card,PR209,Cu209
TR210,97,Minnesota,Bank Transfer,Store Pickup,Yes,Yes,Cash,PR210,Cu210
TR211,22,Vermont,Venmo,2-Day Shipping,Yes,Yes,PayPal,PR211,Cu211
TR212,92,South Dakota,Venmo,2-Day Shipping,Yes,Yes,Debit Card,PR212,Cu212
TR213,84,Virginia,Venmo,Express,Yes,Yes,Debit Card,PR213,Cu213
TR214,93,Nevada,Cash,Store Pickup,Yes,Yes,Debit Card,PR214,Cu214
TR215,50,Hawaii,Cash,Next Day Air,Yes,Yes,Cash,PR215,Cu215
TR216,64,New Jersey,Bank Transfer,2-Day Shipping,Yes,Yes,PayPal,PR216,Cu216
TR217,61,Massachusetts,Cash,Free Shipping,Yes,Yes,Venmo,PR217,Cu217
TR218,48,Oklahoma,Venmo,Next Day Air,Yes,Yes,Bank Transfer,PR218,Cu218
TR219,45,California,Credit Card,Store Pickup,Yes,Yes,Credit Card,PR219,Cu219
TR220,88,Nevada,Venmo,Free Shipping,Yes,Yes,Cash,PR220,Cu220
TR221,57,Arizona,Debit Card,Express,Yes,Yes,Debit Card,PR221,Cu221
TR222,68,North Carolina,Debit Card,Store Pickup,Yes,Yes,Bank Transfer,PR222,Cu222
TR223,94,New York,Venmo,2-Day Shipping,Yes,Yes,PayPal,PR223,Cu223
TR224,41,Wyoming,Venmo,Free Shipping,Yes,Yes,PayPal,PR224,Cu224
TR225,83,South Dakota,PayPal,Free Shipping,Yes,Yes,Cash,PR225,Cu225
TR226,22,Arkansas,Debit Card,Next Day Air,Yes,Yes,Bank Transfer,PR226,Cu226
TR227,74,Texas,Cash,Free Shipping,Yes,Yes,PayPal,PR227,Cu227
TR228,90,Rhode Island,Venmo,Standard,Yes,Yes,Venmo,PR228,Cu228
TR229,79,New Hampshire,Credit Card,Store Pickup,Yes,Yes,Credit Card,PR229,Cu229
TR230,28,Ohio,Cash,Next Day Air,Yes,Yes,PayPal,PR230,Cu230
TR231,88,Utah,Venmo,Standard,Yes,Yes,Credit Card,PR231,Cu231
TR232,26,Tennessee,Bank Transfer,2-Day Shipping,Yes,Yes,Debit Card,PR232,Cu232
TR233,27,Hawaii,Bank Transfer,Express,Yes,Yes,Bank Transfer,PR233,Cu233
TR234,83,Arizona,PayPal,Next Day Air,Yes,Yes,Bank Transfer,PR234,Cu234
TR235,39,South Dakota,PayPal,Next Day Air,Yes,Yes,Credit Card,PR235,Cu235
TR236,89,New Jersey,Cash,Free Shipping,Yes,Yes,Debit Card,PR236,Cu236
TR237,68,North Dakota,Debit Card,Next Day Air,Yes,Yes,PayPal,PR237,Cu237
TR238,90,Iowa,Venmo,Store Pickup,Yes,Yes,Debit Card,PR238,Cu238
TR239,34,Ohio,Debit Card,Free Shipping,Yes,Yes,Cash,PR239,Cu239
TR240,51,Vermont,PayPal,Express,Yes,Yes,Credit Card,PR240,Cu240
TR241,45,Montana,Credit Card,Free Shipping,Yes,Yes,Bank Transfer,PR241,Cu241
TR242,88,Delaware,PayPal,Free Shipping,Yes,Yes,Venmo,PR242,Cu242
TR243,85,New York,Credit Card,Store Pickup,Yes,Yes,Debit Card,PR243,Cu243
TR244,100,Kentucky,Credit Card,2-Day Shipping,Yes,Yes,Debit Card,PR244,Cu244
TR245,42,Oregon,Debit Card,2-Day Shipping,Yes,Yes,PayPal,PR245,Cu245
TR246,53,Rhode Island,Cash,Next Day Air,Yes,Yes,Venmo,PR246,Cu246
TR247,86,Nevada,Credit Card,Express,Yes,Yes,Venmo,PR247,Cu247
TR248,66,Montana,Credit Card,Standard,Yes,Yes,Debit Card,PR248,Cu248
TR249,100,Pennsylvania,Venmo,Express,Yes,Yes,PayPal,PR249,Cu249
TR250,47,Alaska,Cash,Standard,Yes,Yes,Credit Card,PR250,Cu250
TR251,25,Mississippi,Debit Card,Express,Yes,Yes,Bank Transfer,PR251,Cu251
TR252,51,Wyoming,PayPal,Standard,Yes,Yes,PayPal,PR252,Cu252
TR253,41,Delaware,Cash,Free Shipping,Yes,Yes,Venmo,PR253,Cu253
TR254,73,Oklahoma,PayPal,2-Day Shipping,Yes,Yes,Bank Transfer,PR254,Cu254
TR255,42,Indiana,Credit Card,Store Pickup,Yes,Yes,PayPal,PR255,Cu255
TR256,20,Maryland,Debit Card,Free Shipping,Yes,Yes,Debit Card,PR256,Cu256
TR257,30,South Dakota,Venmo,Express,Yes,Yes,Credit Card,PR257,Cu257
TR258,53,West Virginia,PayPal,Express,Yes,Yes,Credit Card,PR258,Cu258
TR259,74,Alabama,Venmo,Express,Yes,Yes,Cash,PR259,Cu259
TR260,57,Louisiana,Credit Card,Standard,Yes,Yes,Debit Card,PR260,Cu260
TR261,57,Montana,Bank Transfer,2-Day Shipping,Yes,Yes,Credit Card,PR261,Cu261
TR262,77,California,Cash,Standard,Yes,Yes,Credit Card,PR262,Cu262
TR263,40,Hawaii,Cash,Next Day Air,Yes,Yes,Debit Card,PR263,Cu263
TR264,46,Iowa,Credit Card,Store Pickup,Yes,Yes,Venmo,PR264,Cu264
TR265,78,Colorado,Venmo,Store Pickup,Yes,Yes,Cash,PR265,Cu265
TR266,59,Michigan,Venmo,2-Day Shipping,Yes,Yes,Bank Transfer,PR266,Cu266
TR267,75,Louisiana,Cash,Express,Yes,Yes,Credit Card,PR267,Cu267
TR268,54,Maryland,Venmo,2-Day Shipping,Yes,Yes,Venmo,PR268,Cu268
TR269,42,Georgia,Venmo,Store Pickup,Yes,Yes,Cash,PR269,Cu269
TR270,44,Georgia,PayPal,Next Day Air,Yes,Yes,Cash,PR270,Cu270
TR271,52,North Dakota,Debit Card,Free Shipping,Yes,Yes,Bank Transfer,PR271,Cu271
TR272,69,Maryland,Credit Card,Express,Yes,Yes,Credit Card,PR272,Cu272
TR273,26,Oregon,PayPal,2-Day Shipping,Yes,Yes,Debit Card,PR273,Cu273
TR274,33,North Dakota,Cash,Express,Yes,Yes,Debit Card,PR274,Cu274
TR275,32,Maryland,Credit Card,Express,Yes,Yes,Cash,PR275,Cu275
TR276,85,Virginia,Debit Card,Express,Yes,Yes,Credit Card,PR276,Cu276
TR277,30,South Dakota,Debit Card,Express,Yes,Yes,Bank Transfer,PR277,Cu277
TR278,29,Georgia,Credit Card,Store Pickup,Yes,Yes,Bank Transfer,PR278,Cu278
TR279,95,Hawaii,Bank Transfer,Express,Yes,Yes,Debit Card,PR279,Cu279
TR280,69,Arkansas,Credit Card,Standard,Yes,Yes,Bank Transfer,PR280,Cu280
TR281,69,Montana,Debit Card,2-Day Shipping,Yes,Yes,Cash,PR281,Cu281
TR282,61,Oklahoma,Bank Transfer,Standard,Yes,Yes,Debit Card,PR282,Cu282
TR283,94,Minnesota,Debit Card,2-Day Shipping,Yes,Yes,Cash,PR283,Cu283
TR284,30,Montana,Debit Card,Next Day Air,Yes,Yes,Venmo,PR284,Cu284
TR285,45,Ohio,PayPal,Standard,Yes,Yes,PayPal,PR285,Cu285
TR286,39,Kentucky,Credit Card,Express,Yes,Yes,Debit Card,PR286,Cu286
TR287,51,Nebraska,Cash,Store Pickup,Yes,Yes,Debit Card,PR287,Cu287
TR288,37,Delaware,Cash,2-Day Shipping,Yes,Yes,Venmo,PR288,Cu288
TR289,62,North Carolina,Credit Card,2-Day Shipping,Yes,Yes,Venmo,PR289,Cu289
TR290,85,New York,Debit Card,2-Day Shipping,Yes,Yes,Credit Card,PR290,Cu290
TR291,33,Colorado,Bank Transfer,Standard,Yes,Yes,PayPal,PR291,Cu291
TR292,26,Delaware,Credit Card,Next Day Air,Yes,Yes,Bank Transfer,PR292,Cu292
TR293,99,Utah,Credit Card,Free Shipping,Yes,Yes,Cash,PR293,Cu293
TR294,39,Connecticut,PayPal,Express,Yes,Yes,PayPal,PR294,Cu294
TR295,20,New Jersey,Cash,Store Pickup,Yes,Yes,Credit Card,PR295,Cu295
TR296,42,West Virginia,Venmo,Store Pickup,Yes,Yes,Credit Card,PR296,Cu296
TR297,74,Indiana,PayPal,2-Day Shipping,Yes,Yes,Credit Card,PR297,Cu297
TR298,26,Delaware,Bank Transfer,Standard,Yes,Yes,Credit Card,PR298,Cu298
TR299,53,Maryland,Cash,Standard,Yes,Yes,Venmo,PR299,Cu299
TR300,80,Pennsylvania,Credit Card,Next Day Air,Yes,Yes,PayPal,PR300,Cu300
TR301,98,Iowa,Cash,Store Pickup,Yes,Yes,PayPal,PR301,Cu301
TR302,95,Pennsylvania,Debit Card,Standard,Yes,Yes,Credit Card,PR302,Cu302
